thumb,fing1,fing2,fing3,fing4
233.33452380648689,161.4465855941215,146.84004903295286,136.444127759314,135.34031180694095
232.13142829009604,161.8919392681427,150.0,138.81282361511128,133.73481222179961
225.39077177204928,158.3445610054226,147.52626884728022,137.71347065556077,132.84953895290718
222.24535990656813,154.30489298787643,145.49914089093448,136.82470537150812,131.85598204101322
220.6558406206371,152.81688388394784,138.19189556555045,129.98846102635417,126.77539193392383
217.00691233230336,156.66843970627906,136.61625086350452,127.76932339180638,124.78781991845197
215.6965461012299,152.9477034806342,135.5949851580065,128.2497563350512,129.71121771072848
214.55302374937528,151.28780519261954,138.29316685939332,132.015150645674,135.95955280891445
213.12203077110541,151.7003625572464,139.83204210766573,136.0036764208968,142.57980221616245
216.52944372532804,156.3873396410336,147.49237268414933,146.01369798755184,150.44268011438774
217.99311915746333,158.4960567332828,146.696966567138,143.01398533010678,148.66068747318505
215.20455385516357,154.02921800749363,145.71547618561317,143.0,149.11069713471264
217.99311915746333,152.5417975507041,144.15616532080756,142.0,149.2816130673835
216.54098919142305,148.47558721890948,137.7679207943562,135.0148140020198,143.02796929272262
217.89217516927954,148.03377992877165,136.79546776117988,132.03408650799233,136.7808466123821
220.43593173527768,150.7348665704123,137.7679207943562,133.06013678032951,134.6476884316994
220.29298672449835,149.40214188558343,133.64505228402584,127.06297651164952,127.73801313626261
218.34147567514515,148.03040228277433,132.69890730522238,125.25573839150046,124.45882853377658
218.56349191939628,148.94629904767692,132.2800060477773,122.3315167894194,121.3424904969401
217.81643647805828,146.2942240828393,131.60547101089682,123.40583454602137,123.32072007574396
216.83173199511182,149.41218156495808,132.85330255586422,124.4025723206719,122.3315167894194
215.8633827215723,149.00335566691106,134.1044369139217,125.4830665866913,123.17873193047572
217.0829334609241,149.4824404403407,133.15029102484155,125.4830665866913,124.03628501370073
217.33844574764032,149.00335566691106,134.1044369139217,126.4792473095883,125.02799686470227
216.1157097482735,148.12494725737457,133.15029102484155,125.4830665866913,124.03628501370073
216.6333307688362,148.12494725737457,133.15029102484155,126.4792473095883,123.9112585683803
217.86234185833953,148.22280526288793,134.7145129523913,126.66885963013956,124.78781991845197
217.86234185833953,147.24808997063425,134.1044369139217,126.57013865837392,123.9112585683803
216.6333307688362,146.76852523616907,133.15029102484155,124.57929201917949,123.9112585683803
215.40659228538016,146.76852523616907,134.40610105199838,125.78155667664477,123.68508398347798
213.92755783208483,146.76852523616907,133.4541119636259,124.78781991845197,122.6906679417795
211.49231664530984,145.01379244747721,132.5028301584536,123.79418403139947,120.70211265756701
209.55428890862626,146.24978632463024,132.5631924781536,123.40583454602137,121.19818480488888
209.80228788075692,144.00347218036097,129.80754985747168,123.25988804148737,121.49485585818027
210.27838690650069,145.41320435228707,130.96946208945045,125.09996003196804,123.96773773849388
210.27838690650069,146.81961721786362,134.39121995130486,130.034610777285,132.01893803541975
211.00947846009194,147.2582765076381,135.95955280891445,133.0338302838793,134.73306943731373
208.83007446246816,148.06079832285116,136.6235704408284,135.09256086106296,139.6352391053204
208.5976989326584,152.16109883935513,141.718029904455,140.089257261219,144.5441109142811
210.3188056261256,153.44380078712857,145.52319402761884,144.12494579357175,148.85227576359054
209.57099035887578,156.37135287513502,146.972786596703,145.0551619212498,148.29699929533302
212.72047386182646,160.6268968759591,149.11069713471264,146.03081866510234,146.15402833996743
211.07344693257843,161.40012391568973,154.719100307622,154.0811474515945,157.33403954643762
210.85777196963835,168.07438829280326,158.97798589741913,157.05094714773293,159.9656213065795
208.6911593719293,161.75598906995685,157.83535725559088,156.08010763707205,159.9656213065795
208.48261318392957,163.27277789025334,159.66527487215245,160.11246047700348,161.94134740701648
